No;ur.kpss
487;2.291435522
488;1.879671447
489;2.794416378
490;3.547040458
491;4.280339658
492;4.02664488
493;4.205031811
494;4.059437762
495;3.897937201
496;3.82949095
497;4.007048491
498;4.818013153
499;5.351718445
500;5.171936665
501;4.83454927
502;3.66313819
503;1.093912372
504;-0.022230473
505;-0.113650577
506;0.008462783
507;-0.447478461
508;-0.577991582
509;-1.020955556
510;-1.23679145
511;-1.978198975
512;-1.494954535
513;-1.387524618
514;-0.224219478
515;1.896489585
516;2.775254206
517;2.587348961
518;2.12852175
519;2.260430129
520;2.182773961
521;1.983742011
522;1.115317738
523;1.33186959
524;1.143613283
525;1.112105368
526;1.159941738
527;1.07870577
528;1.427554798
529;1.686482098
530;2.102637011
531;2.585526825
532;3.030837022
533;3.400494118
534;3.442382406
535;3.517292591
536;3.686212648
537;3.741737362
538;3.46165546
539;3.393206262
540;3.016121142
541;2.96439087
542;2.856975448
543;2.550082523
544;2.247711995
545;1.723013438
546;1.640342959
547;1.40755873
548;1.671880775
549;1.930953416
550;2.132771924
551;1.780081818
552;1.744204901
553;1.670038661
554;1.998045943
555;1.507329732
556;1.132372442
557;1.380811594
558;1.701240026
559;1.867917102
560;1.527089891
561;1.088785271
562;0.872977582
563;1.225332244
564;1.501509087
565;1.545750282
566;1.114243818
567;1.599829129
568;1.995090359
569;2.143803132
570;2.038071208
571;1.95500255
572;1.700556572
573;1.670028049
574;1.596725914
575;1.224003411
576;0.650997796
577;-0.230195725
578;-0.087069357
579;-0.022033712
580;-0.104085139
581;0.035027083
582;0.179410772
583;0.225431822
584;0.241013128
585;0.008842571
586;0.1275352
587;0.435369109
588;0.63669355
589;1.229908031
590;0.843708329
591;0.887664671
592;1.165803774
593;1.072702382
594;1.073503809
595;0.864614754
596;1.049786271
597;1.536775503
598;1.671870991
599;1.670305871
600;2.030053187
601;2.479400597
602;2.771595652
603;2.411875271
604;2.152881767
605;1.839323424
606;1.627253925
607;1.71039632
608;1.909768827
609;2.157130961
610;2.000611398
611;2.149231529
612;2.107564725
613;2.128504628
614;2.238232575
615;2.304198046
616;2.440960964
617;2.743929172
618;2.768861466
619;2.814153417
620;2.608602044
621;2.305278203
622;2.461487757
623;2.124598298
624;1.982596922
625;1.476633268
626;1.507442316
627;1.865673917
628;1.980834758
629;1.779974596
630;1.65738409
631;1.80985422
632;1.722716865
633;1.670467383
634;1.719111929
635;2.0707026
636;2.293035311
637;2.566548531
638;2.314328305
639;1.482989121
640;0.312558321
641;0.198005144
642;0.714100506
643;0.991928842
644;1.272933564
645;1.381436961
646;1.22287861
647;1.168887034
648;1.311777585
649;1.346217668
650;1.653752235
651;2.589818557
652;4.054074012
653;4.808960039
654;5.180864153
655;5.135038541
656;5.051556218
657;5.224631266
658;6.040427962
659;6.640140539
660;6.914779471
661;7.304674641
662;7.649075371
663;8.195577028
664;7.913609754
665;8.185692296
666;8.617125716
667;8.109856428
668;7.896140074
669;7.886433597
670;7.471093257
671;6.888574919
672;6.213718722
673;6.147410852
674;5.786928784
675;4.813612787
676;4.828477446
677;4.042493528
678;3.013391193
679;3.227673834
680;3.651162253
681;3.628450606
682;3.194951026
683;3.091570303
684;3.26820771
685;3.060623984
686;3.117323822
687;3.410187882
688;3.299025865
689;3.187520853
690;2.926832705
691;2.896118007
692;2.577411567
693;2.403426387
694;2.538898954
695;2.677988054
696;2.831887141
697;2.955309847
698;2.775397426
699;2.377106872
700;2.306931056
701;2.348148031
702;2.637591035
703;2.69515352
